Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
125,Hélder Costa,ao ANG,"FW,MF",Estoril,31-113,1994,6.7,19,2.82,16,0,0,0,2,1,4,0.59,1,0,0,0,2,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,João Costa,pt POR,FW,Santa Clara,25-059,2000,8.0,14,1.75,9,0,1,2,2,0,2,0.25,0,0,1,0,1,0,Matches
127,João Paulo Santos Costa,pt POR,GK,Estrela,29-092,1996,11.0,2,0.18,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
128,Michel Costa,br BRA,MF,Estoril,23-136,2001,6.6,10,1.51,9,0,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches
129,Rui Costa,pt POR,"FW,MF",Farense,29-074,1996,5.9,19,3.21,11,1,2,4,0,1,1,0.17,1,0,0,0,0,0,Matches
130,Marco Cruz,pt POR,DF,Vitória,21-071,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Sandro Cruz,ao ANG,DF,Gil Vicente FC,23-358,2001,23.1,32,1.38,26,2,1,1,1,1,1,0.04,1,0,0,0,0,0,Matches
132,Augusto Dabo,gw GNB,DF,Boavista,21-053,2004,6.1,5,0.82,2,2,0,0,0,1,1,0.16,1,0,0,0,0,0,Matches
133,Samuel Dahl,se SWE,"DF,MF",Benfica,25-062,2000,6.5,28,4.29,18,3,1,0,6,0,5,0.77,3,1,0,0,1,0,Matches
134,Amadou Dante,ml MLI,"DF,MF",Arouca,24-210,2000,11.6,25,2.16,21,1,3,0,0,0,2,0.17,2,0,0,0,0,0,Matches
135,Mathias De Amorim,fr FRA,MF,Famalicão,20-146,2004,10.8,37,3.43,29,0,2,2,2,2,2,0.19,2,0,0,0,0,0,Matches
136,Zeno Debast,be BEL,"DF,MF",Sporting CP,21-193,2003,22.0,42,1.91,34,5,0,1,1,1,5,0.23,3,2,0,0,0,0,Matches
137,Depú,ao ANG,FW,Gil Vicente FC,25-117,2000,0.5,2,4.29,1,0,0,1,0,0,1,2.14,1,0,0,0,0,0,Matches
138,Derick,br BRA,"DF,MF",Farense,31-246,1993,15.7,36,2.29,18,10,4,1,2,1,4,0.25,2,1,1,0,0,0,Matches
139,Ángel Di María,ar ARG,FW,Benfica,37-080,1988,17.4,85,4.88,56,12,7,3,6,1,11,0.63,8,1,0,1,1,0,Matches
140,Abdoulay Diaby,ml MLI,"FW,MF",Boavista,33-349,1991,7.0,8,1.14,6,0,1,1,0,0,1,0.14,0,0,0,1,0,0,Matches
141,Matheus Dias,br BRA,"MF,DF",Nacional,28-087,1997,18.1,36,1.98,28,1,1,2,1,3,2,0.11,1,0,0,1,0,0,Matches
142,Tiago Dias,pt POR,"DF,FW",Casa Pia,27-001,1998,0.6,3,5.00,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Ousmane Diomande,ci CIV,DF,Sporting CP,21-152,2003,26.7,32,1.20,28,0,1,2,1,0,3,0.11,2,0,0,0,1,0,Matches
144,Tiago Djaló,pt POR,DF,Porto,25-026,2000,6.6,9,1.37,7,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
145,Maxime Dominguez,ch SUI,MF,Gil Vicente FC,29-093,1996,2.8,12,4.34,7,3,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Issiar Dramé,ml MLI,DF,Estrela,26-078,1999,14.7,7,0.48,5,0,0,0,2,0,1,0.07,0,0,0,0,1,0,Matches
